t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,0,-0.224890873835297,-2.088304758506,-0.795952638395264,0.654005234266455,0.722550922266906,0.184616827403371,0.126940715780385,0,0,0,0,0,0,0,0,0,0.726298222844339,0.099487675865461,0.871394069140115,0.120458651171846,0,0,0,0,0,0
0.71530218518956,-0.173640637568552,-0.258592521293529,0.891407250249245,-4.23182970872935,2.17163484588343,-4.31516156728416,0.424707016763367,0.338335440274359,0.482379728819448,0.687359350696848,0,0,0,0,0,0,0,0,0,6.42782715847917,6.28001971758273,6.28195701693065,6.2781660198274,0,0,0,0,0,0
0,0,0,0,0.732995506750879,0.255351617296882,-1.0659964747701,0.545010701178042,0.630684913976826,0.424612554534283,0.353417675584192,0,0,0,0,0,0,0,0,0,3.58836909057266,0.135558007595691,3.24682278132729,5.92224941591585E-06,0,0,0,0,0,0
0.765646105212004,1.72281572431363,-1.20732078754792,-2.15592492815372,3.35380657080493,-2.11777804971238,-2.64257783525388,0.607210774528662,0.707982543507851,0.249136385743484,0.260742889995357,0,0,0,0,0,0,0,0,0,2.53593861483053,2.46345447670056E-07,2.99618862204893,0.027157962599001,0,0,0,0,0,0
0,0,0,0,-0.192331307428403,1.87077270191552,-0.364649807152064,0.649255489619742,0.474136920604292,0.012022295540326,0.59457291741926,0,0,0,0,0,0,0,0,0,3.56005695218778,4.32245129854066,4.02454416487929,4.31728609256504,0,0,0,0,0,0
0.759810079687377,-0.982956027147313,1.61004926760948,2.36216928368932,-3.09647098051999,2.53240156255234,3.86089209305278,0.526548246385474,0.181955573871375,0.513511023069714,0.652645035644504,0,0,0,0,0,0,0,0,0,0.002250752769995,0.464487994989033,1.88305354817648E-06,9.39129534224838E-07,0,0,0,0,0,0
0,0,0,0,1.15120842970401,-0.911967482859907,-3.89591256512284,0.00455981812441,0.040306585482752,0.357848980045819,0.932898008737054,0,0,0,0,0,0,0,0,0,4.36603962525251,6.87486459271249,4.20107051536496,6.87899993077023,0,0,0,0,0,0
0.754521236968041,1.77773030399274,1.31467115375238,-0.507047109886703,2.07824274424317,-2.59368324606666,0.655966810278472,0.664745113679277,0.722140699908645,0.019625614447651,0.190372210767564,0,0,0,0,0,0,0,0,0,6.82453064014026,4.30210999822621,6.8789998882519,3.99802336514876,0,0,0,0,0,0
0,0,0,0,3.13947243387099,-2.66786245808184,1.61588878975121,0.350350088302243,0.525134325054589,0.367121430853945,0.683162214473125,0,0,0,0,0,0,0,0,0,0.11454784020438,-9.99630049093247E-09,-9.99628426637424E-09,0.048389662405154,0,0,0,0,0,0
0.424436222246569,0.766617151207579,-0.833887364114974,0.143743846175736,1.65484937747909,-1.93803059264131,-2.77068562946477,0.476524284088547,0.717126891817114,0.481237062932923,0.164512968991254,0,0,0,0,0,0,0,0,0,-9.98757875941285E-09,-9.99676688880825E-09,0.114080626280265,0.078684221381057,0,0,0,0,0,0
0,0,0,0,1.44773000343883,-2.47822503807511,3.58588486430134,0.695389524438035,0.007943928156794,0.423759721905659,0.580343003229747,0,0,0,0,0,0,0,0,0,6.87899969208288,4.25581699109244,6.7586397336408,4.47712277825671,0,0,0,0,0,0
0.744326892381652,1.75555741534193,0.809807099770445,1.58530038437358,1.22795093624619,4.00216835028127,-0.432651323939804,0.222266990190095,0.439587844577796,0.579676301486946,0.649103456673663,0,0,0,0,0,0,0,0,0,4.13169125560211E-08,3.71380801941226,0.377282190074273,3.67185165189827,0,0,0,0,0,0
0,0,0,0,-1.84187902758877,-1.32830397995865,3.72218186327482,0.272363128462382,0.557438695311838,0.216534606255376,0.753785905623771,0,0,0,0,0,0,0,0,0,-9.864727048542E-09,0.030062323965183,0.16138281199966,0.117169199215529,0,0,0,0,0,0
0.426170071248505,-0.510838723412221,-0.094606497901619,1.03227711121477,-0.036045396808113,4.12548472612685,4.06458265754091,0.469654704746667,0.456897654957323,0.745110763058831,0.124414396183506,0,0,0,0,0,0,0,0,0,6.78840889909586,6.83623551448335,6.87900006867426,6.67840363123309,0,0,0,0,0,0
0,0,0,0,-4.74689449122915,-3.35534031913929,-3.33778988400152,0.178358824103225,0.620367610385135,0.623117984554168,0.441651599311838,0,0,0,0,0,0,0,0,0,1.66969255610392,3.0531292268318,1.98872601925346,3.03528760656664,0,0,0,0,0,0
0.437791683011674,1.2603083235305,-0.229976572712696,-0.448895899292053,2.06671282697428,0.754657768763247,-0.285829426363545,0.313738368936725,0.406086597777803,0.8283492613438,0.224720742686011,0,0,0,0,0,0,0,0,0,6.71594021545061,5.6441355580346,6.87893639120697,5.55514824422019,0,0,0,0,0,0
0,0,0,0,3.40858074338051,-4.4262272192782,-3.72226032945532,0.456344472868016,0.241744090352633,0.836361765157004,0.183870918434242,0,0,0,0,0,0,0,0,0,3.367044121352,3.38025850924785,3.36284875907998,3.37396429465203,0,0,0,0,0,0
8.58060672873076E-05,-0.908046836445677,1.01744257753057,-0.137234475517941,-3.13113269893078,-1.52732940758721,4.35981381689823,0.299052896805784,0.06645504918241,0.855844423177029,0.416751022394679,0,0,0,0,0,0,0,0,0,3.37370971963362,3.3660842731394,3.37289992689925,3.37173675556403,0,0,0,0,0,0
0,0,0,0,0.389033003193097,-1.61843810045007,3.16859416018356,0.560207004084346,0.810299884230536,0.157390635276905,0.069357033658846,0,0,0,0,0,0,0,0,0,0.125322556646014,1.31342248723943,-9.99532656589533E-09,1.4196753960681,0,0,0,0,0,0
0.310007698520854,-0.311574130667195,0.604206291792011,0.136442093651196,-0.324207292493596,-3.61370770740933,-3.25914116088194,0.485715031049534,0.369315061916765,0.656417063262051,0.443625892743414,0,0,0,0,0,0,0,0,0,6.73250308875006,5.54526792358156,6.87900006873765,5.47012363937391,0,0,0,0,0,0
0,0,0,0,-4.26865408834455,-0.847752579883817,-4.45412029428662,0.245428582734739,0.666316249038664,0.686649117844599,0.155886035317784,0,0,0,0,0,0,0,0,0,-9.5145016147087E-09,-9.49322438245464E-09,0.495531640011184,0.002263542172192,0,0,0,0,0,0
0.284896400362272,0.608901053322964,-0.439532745299818,1.01496608712364,-4.89321740237884,1.48197301271415,-1.31961704116831,0.117314183784148,0.315621015402942,0.171149005927387,0.925920501279209,0,0,0,0,0,0,0,0,0,6.87664422424819,6.876924921367,6.87900006826658,6.87900006826378,0,0,0,0,0,0
0,0,0,0,1.1609147101766,2.65914061182146,3.95879728389593,0.080230122954578,0.143639745207212,0.305246902131126,0.937952599925418,0,0,0,0,0,0,0,0,0,9.34661163633236E-08,0.812849763035261,0.447792626103469,0.806898536961471,0,0,0,0,0,0
0.709306536606835,-0.52416398291133,1.99414472674588,2.0986679434051,-0.317293046469198,3.2384229949143,2.28086758630795,0.509333545488721,0.360029804849739,0.650612355756359,0.43319907848114,0,0,0,0,0,0,0,0,0,1.81573307994279,6.87899601128194,1.76639577375327,6.43357865913365,0,0,0,0,0,0
0,0,0,0,4.64424234730177,4.89903107258448,-4.70979845586122,0.690356019936183,0.269916264388792,0.595311117838972,0.310094258143529,0,0,0,0,0,0,0,0,0,1.87669076658607,2.7764457660418,3.65912438306517,2.09292407004946,0,0,0,0,0,0
-1.99997443276307E-08,-0.63579876805722,0.077016856065031,-0.31279669804344,0.394311427006808,1.50246162446246,1.44081062553566,0.64539046997885,0.400649288702018,0.116893962289716,0.63975549259327,0,0,0,0,0,0,0,0,0,1.77729556439424,3.15768297632457,3.66329364873517,2.10929234672035,0,0,0,0,0,0
0,0,0,0,1.327901554,1.34616397509791,-0.380050318177134,0.670670444591562,0.52659203196179,0.52005645247727,0.049429473621185,0,0,0,0,0,0,0,0,0,6.87899998058666,3.84213103586154,6.87038514231027,3.51459625496071,0,0,0,0,0,0
0.76709544338993,1.48568293025213,-1.79610857435201,0.863464987071608,0.552554407157995,-1.92644351476323,2.90087136718337,0.647867149400412,0.288554267187563,0.032083818354505,0.704255081781756,0,0,0,0,0,0,0,0,0,9.54855950495414E-08,1.97693374852345E-06,0.248784241053931,0.119547710966737,0,0,0,0,0,0
